"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 13 19:20:28 GMT 2025","Tue May 13 19:20:28 GMT 2025","468","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testSlowCalculatorLink","testSlowCalculatorLink()",""
"passed","Tue May 13 19:20:24 GMT 2025","Tue May 13 19:20:24 GMT 2025","1","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCreateWorkerUsingConstructor","testCreateWorkerUsingConstructor()",""
"skipped","Tue May 13 19:20:24 GMT 2025","Tue May 13 19:20:24 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testRadioButton","testRadioButton()",""
"broken","Tue May 13 19:20:27 GMT 2025","Tue May 13 19:20:28 GMT 2025","489","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testNavigationPageLink","testNavigationPageLink()",""
"broken","Tue May 13 19:20:27 GMT 2025","Tue May 13 19:20:27 GMT 2025","497","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDropdownMenuLink","testDropdownMenuLink()",""
"broken","Tue May 13 19:20:29 GMT 2025","Tue May 13 19:20:30 GMT 2025","478","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testWebFormLink","testWebFormLink()",""
"skipped","Tue May 13 19:20:24 GMT 2025","Tue May 13 19:20:24 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testCheckbox","testCheckbox()",""
"skipped","Tue May 13 19:20:24 GMT 2025","Tue May 13 19:20:24 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testTextareaField","testTextareaField()",""
"broken","Tue May 13 19:20:36 GMT 2025","Tue May 13 19:20:37 GMT 2025","476","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testFileUpload","testFileUpload()",""
"broken","Tue May 13 19:20:30 GMT 2025","Tue May 13 19:20:30 GMT 2025","481","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testHeader","testHeader()",""
"skipped","Tue May 13 19:20:38 GMT 2025","Tue May 13 19:20:38 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDrawInCanvasLink","testDrawInCanvasLink()",""
"passed","Tue May 13 19:20:24 GMT 2025","Tue May 13 19:20:24 GMT 2025","3","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testChangeSalaryUsingToBuilder","testChangeSalaryUsingToBuilder()",""
"broken","Tue May 13 19:20:26 GMT 2025","Tue May 13 19:20:26 GMT 2025","496","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testMouseOverLink","testMouseOverLink()",""
"skipped","Tue May 13 19:20:38 GMT 2025","Tue May 13 19:20:38 GMT 2025","0","","ui.oldTests.LoginFormTest","","ui.oldTests.LoginFormTest","loginFormTest","loginFormTest()",""
"skipped","Tue May 13 19:20:24 GMT 2025","Tue May 13 19:20:24 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testNavigationLink","testNavigationLink()",""
"broken","Tue May 13 19:20:24 GMT 2025","Tue May 13 19:20:25 GMT 2025","1573","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDragAndDropLink","testDragAndDropLink()",""
"broken","Tue May 13 19:20:31 GMT 2025","Tue May 13 19:20:32 GMT 2025","466","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testCheckbox","testCheckbox()",""
"skipped","Tue May 13 19:20:24 GMT 2025","Tue May 13 19:20:24 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testDropdownMenuLink","testDropdownMenuLink()",""
"skipped","Tue May 13 19:20:38 GMT 2025","Tue May 13 19:20:38 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testPasswordField","testPasswordField()",""
"passed","Tue May 13 19:20:24 GMT 2025","Tue May 13 19:20:24 GMT 2025","1","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCreateWorkerUsingBuilder","testCreateWorkerUsingBuilder()",""
"passed","Tue May 13 19:20:23 GMT 2025","Tue May 13 19:20:23 GMT 2025","40","","ui.BilderTests.LoginLombokTest","","ui.BilderTests.LoginLombokTest","testCreateUserUsingBuilder","testCreateUserUsingBuilder()",""
"skipped","Tue May 13 19:20:24 GMT 2025","Tue May 13 19:20:24 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testDateInput","testDateInput()",""
"skipped","Tue May 13 19:20:24 GMT 2025","Tue May 13 19:20:24 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testReadonlyInput","testReadonlyInput()",""
"skipped","Tue May 13 19:20:38 GMT 2025","Tue May 13 19:20:38 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testReadonlyInput","testReadonlyInput()",""
"skipped","Tue May 13 19:20:38 GMT 2025","Tue May 13 19:20:38 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testNavigationPageLink","testNavigationPageLink()",""
"skipped","Tue May 13 19:20:24 GMT 2025","Tue May 13 19:20:24 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testTextInput","testTextInput()",""
"skipped","Tue May 13 19:20:24 GMT 2025","Tue May 13 19:20:24 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testColorPicker","testColorPicker()",""
"skipped","Tue May 13 19:20:38 GMT 2025","Tue May 13 19:20:38 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testHeader","testHeader()",""
"skipped","Tue May 13 19:20:38 GMT 2025","Tue May 13 19:20:38 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testWebFormLink","testWebFormLink()",""
