"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 16 01:13:44 GMT 2025","Fri May 16 01:13:45 GMT 2025","674","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testFileUpload","testFileUpload()",""
"passed","Fri May 16 01:13:24 GMT 2025","Fri May 16 01:13:24 GMT 2025","1","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCloneAndModifySalary","testCloneAndModifySalary()",""
"passed","Fri May 16 01:13:26 GMT 2025","Fri May 16 01:13:27 GMT 2025","792","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testNavigationLink","testNavigationLink()",""
"broken","Fri May 16 01:13:46 GMT 2025","Fri May 16 01:13:47 GMT 2025","1134","","ui.POM_FluentTest.WebFormFluentTest","","ui.POM_FluentTest.WebFormFluentTest","testWebFormFluentPage","testWebFormFluentPage()",""
"passed","Fri May 16 01:13:33 GMT 2025","Fri May 16 01:13:35 GMT 2025","1053","","ui.POM_Factory.LoginFormTest","","ui.POM_Factory.LoginFormTest","testLogin","testLogin()",""
"passed","Fri May 16 01:13:24 GMT 2025","Fri May 16 01:13:26 GMT 2025","2303","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDragAndDropLink","testDragAndDropLink()",""
"passed","Fri May 16 01:13:37 GMT 2025","Fri May 16 01:13:37 GMT 2025","604","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testReadonlyInput","testReadonlyInput()",""
"passed","Fri May 16 01:13:23 GMT 2025","Fri May 16 01:13:23 GMT 2025","1","","ui.BilderTests.LoginLombokTest","","ui.BilderTests.LoginLombokTest","testChangePasswordUsingToBuilder","testChangePasswordUsingToBuilder()",""
"passed","Fri May 16 01:13:30 GMT 2025","Fri May 16 01:13:31 GMT 2025","772","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testSlowCalculatorLink","testSlowCalculatorLink()",""
"broken","Fri May 16 01:13:50 GMT 2025","Fri May 16 01:13:50 GMT 2025","221","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testReadonlyInput","testReadonlyInput()",""
"broken","Fri May 16 01:13:50 GMT 2025","Fri May 16 01:13:50 GMT 2025","216","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testTextareaField","testTextareaField()",""
"passed","Fri May 16 01:13:31 GMT 2025","Fri May 16 01:13:32 GMT 2025","806","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDrawInCanvasLink","testDrawInCanvasLink()",""
"passed","Fri May 16 01:13:41 GMT 2025","Fri May 16 01:13:42 GMT 2025","661","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testTextareaField","testTextareaField()",""
"broken","Fri May 16 01:13:47 GMT 2025","Fri May 16 01:13:50 GMT 2025","2359","","ui.selenide.LoginTest","","ui.selenide.LoginTest","successfulLoginTest","successfulLoginTest()",""
"passed","Fri May 16 01:13:38 GMT 2025","Fri May 16 01:13:39 GMT 2025","807","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testSelectOption","testSelectOption()",""
"passed","Fri May 16 01:13:45 GMT 2025","Fri May 16 01:13:46 GMT 2025","612","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testDisabledInput","testDisabledInput()",""
