"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu May 15 17:27:25 GMT 2025","Thu May 15 17:27:25 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testNavigationLink","testNavigationLink()",""
"skipped","Thu May 15 17:27:48 GMT 2025","Thu May 15 17:27:48 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testTextInput","testTextInput()",""
"passed","Thu May 15 17:27:28 GMT 2025","Thu May 15 17:27:29 GMT 2025","782","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testMouseOverLink","testMouseOverLink()",""
"passed","Thu May 15 17:27:37 GMT 2025","Thu May 15 17:27:38 GMT 2025","713","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testPasswordField","testPasswordField()",""
"skipped","Thu May 15 17:27:48 GMT 2025","Thu May 15 17:27:48 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDropdownMenuLink","testDropdownMenuLink()",""
"broken","Thu May 15 17:27:47 GMT 2025","Thu May 15 17:27:48 GMT 2025","923","","ui.POM_FluentTest.WebFormFluentTest","","ui.POM_FluentTest.WebFormFluentTest","testWebFormFluentPage","testWebFormFluentPage()",""
"passed","Thu May 15 17:27:36 GMT 2025","Thu May 15 17:27:36 GMT 2025","678","","ui.POM_Factory.LoginFormTest","","ui.POM_Factory.LoginFormTest","testHeaderComponents","testHeaderComponents()",""
"skipped","Thu May 15 17:27:48 GMT 2025","Thu May 15 17:27:48 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testTextareaField","testTextareaField()",""
"skipped","Thu May 15 17:27:48 GMT 2025","Thu May 15 17:27:48 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testDisabledInput","testDisabledInput()",""
"skipped","Thu May 15 17:27:48 GMT 2025","Thu May 15 17:27:48 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testReturnLink","testReturnLink()",""
"skipped","Thu May 15 17:27:25 GMT 2025","Thu May 15 17:27:25 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testDateInput","testDateInput()",""
"skipped","Thu May 15 17:27:48 GMT 2025","Thu May 15 17:27:48 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testNavigationLink","testNavigationLink()",""
"skipped","Thu May 15 17:27:48 GMT 2025","Thu May 15 17:27:48 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testSlowCalculatorLink","testSlowCalculatorLink()",""
"passed","Thu May 15 17:27:25 GMT 2025","Thu May 15 17:27:25 GMT 2025","80","","baseTests.DebugPropertyTest","","baseTests.DebugPropertyTest","printSystemProperties","printSystemProperties()",""
"skipped","Thu May 15 17:27:25 GMT 2025","Thu May 15 17:27:25 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testPasswordField","testPasswordField()",""
"passed","Thu May 15 17:27:25 GMT 2025","Thu May 15 17:27:25 GMT 2025","1","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCloneAndModifySalary","testCloneAndModifySalary()",""
"skipped","Thu May 15 17:27:48 GMT 2025","Thu May 15 17:27:48 GMT 2025","0","","ui.selenide.LoginTest","","ui.selenide.LoginTest","successfulLoginTest","successfulLoginTest()",""
"passed","Thu May 15 17:27:36 GMT 2025","Thu May 15 17:27:37 GMT 2025","770","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testCheckbox","testCheckbox()",""
"passed","Thu May 15 17:27:44 GMT 2025","Thu May 15 17:27:45 GMT 2025","698","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testDateInput","testDateInput()",""
"skipped","Thu May 15 17:27:25 GMT 2025","Thu May 15 17:27:25 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testFormSubmission","testFormSubmission()",""
"skipped","Thu May 15 17:27:48 GMT 2025","Thu May 15 17:27:48 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDragAndDropLink","testDragAndDropLink()",""
"skipped","Thu May 15 17:27:48 GMT 2025","Thu May 15 17:27:48 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDrawInCanvasLink","testDrawInCanvasLink()",""
"passed","Thu May 15 17:27:32 GMT 2025","Thu May 15 17:27:33 GMT 2025","685","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testHeaderComponents","testHeaderComponents()",""
"passed","Thu May 15 17:27:25 GMT 2025","Thu May 15 17:27:25 GMT 2025","0","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCreateWorkerUsingBuilder","testCreateWorkerUsingBuilder()",""
"broken","Thu May 15 17:27:45 GMT 2025","Thu May 15 17:27:46 GMT 2025","651","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testFileUpload","testFileUpload()",""
"passed","Thu May 15 17:27:41 GMT 2025","Thu May 15 17:27:43 GMT 2025","1863","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testFormSubmission","testFormSubmission()",""
"passed","Thu May 15 17:27:27 GMT 2025","Thu May 15 17:27:28 GMT 2025","773","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testNavigationLink","testNavigationLink()",""
"passed","Thu May 15 17:27:46 GMT 2025","Thu May 15 17:27:47 GMT 2025","711","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testHeaderComponents","testHeaderComponents()",""
"passed","Thu May 15 17:27:47 GMT 2025","Thu May 15 17:27:47 GMT 2025","643","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testDisabledInput","testDisabledInput()",""
"passed","Thu May 15 17:27:31 GMT 2025","Thu May 15 17:27:32 GMT 2025","747","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testSlowCalculatorLink","testSlowCalculatorLink()",""
"passed","Thu May 15 17:27:38 GMT 2025","Thu May 15 17:27:38 GMT 2025","627","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testReadonlyInput","testReadonlyInput()",""
"passed","Thu May 15 17:27:43 GMT 2025","Thu May 15 17:27:44 GMT 2025","663","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testColorPicker","testColorPicker()",""
"passed","Thu May 15 17:27:25 GMT 2025","Thu May 15 17:27:25 GMT 2025","2","","ui.BilderTests.LoginLombokTest","","ui.BilderTests.LoginLombokTest","testChangePasswordUsingToBuilder","testChangePasswordUsingToBuilder()",""
"skipped","Thu May 15 17:27:25 GMT 2025","Thu May 15 17:27:25 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testReturnLink","testReturnLink()",""
"skipped","Thu May 15 17:27:48 GMT 2025","Thu May 15 17:27:48 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testPasswordField","testPasswordField()",""
