"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 15 18:33:49 GMT 2025","Thu May 15 18:33:50 GMT 2025","940","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testSlowCalculatorLink","testSlowCalculatorLink()",""
"skipped","Thu May 15 18:34:07 GMT 2025","Thu May 15 18:34:07 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testTextInput","testTextInput()",""
"skipped","Thu May 15 18:34:07 GMT 2025","Thu May 15 18:34:07 GMT 2025","0","","ui.selenide.LoginTest","","ui.selenide.LoginTest","successfulLoginTest","successfulLoginTest()",""
"passed","Thu May 15 18:33:50 GMT 2025","Thu May 15 18:33:50 GMT 2025","687","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testHeaderComponents","testHeaderComponents()",""
"passed","Thu May 15 18:33:41 GMT 2025","Thu May 15 18:33:41 GMT 2025","1","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCreateWorkerUsingBuilder","testCreateWorkerUsingBuilder()",""
"passed","Thu May 15 18:33:51 GMT 2025","Thu May 15 18:33:52 GMT 2025","940","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testWebFormLink","testWebFormLink()",""
"skipped","Thu May 15 18:34:07 GMT 2025","Thu May 15 18:34:07 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testReadonlyInput","testReadonlyInput()",""
"passed","Thu May 15 18:34:02 GMT 2025","Thu May 15 18:34:03 GMT 2025","750","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testDateInput","testDateInput()",""
"passed","Thu May 15 18:33:52 GMT 2025","Thu May 15 18:33:53 GMT 2025","653","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testHeader","testHeader()",""
"passed","Thu May 15 18:33:46 GMT 2025","Thu May 15 18:33:47 GMT 2025","865","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testLoadingImagesLink","testLoadingImagesLink()",""
"skipped","Thu May 15 18:34:07 GMT 2025","Thu May 15 18:34:07 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testHeader","testHeader()",""
"passed","Thu May 15 18:33:57 GMT 2025","Thu May 15 18:33:57 GMT 2025","701","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testRadioButton","testRadioButton()",""
"skipped","Thu May 15 18:34:07 GMT 2025","Thu May 15 18:34:07 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testLoadingImagesLink","testLoadingImagesLink()",""
"passed","Thu May 15 18:33:41 GMT 2025","Thu May 15 18:33:41 GMT 2025","4","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testChangeSalaryUsingToBuilder","testChangeSalaryUsingToBuilder()",""
"broken","Thu May 15 18:34:06 GMT 2025","Thu May 15 18:34:07 GMT 2025","919","","ui.POM_FluentTest.WebFormFluentTest","","ui.POM_FluentTest.WebFormFluentTest","testWebFormFluentPage","testWebFormFluentPage()",""
"skipped","Thu May 15 18:34:07 GMT 2025","Thu May 15 18:34:07 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testTextareaField","testTextareaField()",""
"skipped","Thu May 15 18:33:41 GMT 2025","Thu May 15 18:33:41 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testPasswordField","testPasswordField()",""
"passed","Thu May 15 18:33:55 GMT 2025","Thu May 15 18:33:56 GMT 2025","730","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testPasswordField","testPasswordField()",""
"skipped","Thu May 15 18:34:07 GMT 2025","Thu May 15 18:34:07 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testWebFormLink","testWebFormLink()",""
"skipped","Thu May 15 18:34:07 GMT 2025","Thu May 15 18:34:07 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testReturnLink","testReturnLink()",""
"skipped","Thu May 15 18:33:41 GMT 2025","Thu May 15 18:33:41 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testReadonlyInput","testReadonlyInput()",""
"skipped","Thu May 15 18:33:41 GMT 2025","Thu May 15 18:33:41 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testCheckbox","testCheckbox()",""
"skipped","Thu May 15 18:34:07 GMT 2025","Thu May 15 18:34:07 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testNavigationLink","testNavigationLink()",""
"skipped","Thu May 15 18:33:41 GMT 2025","Thu May 15 18:33:41 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testFileUpload","testFileUpload()",""
"skipped","Thu May 15 18:33:41 GMT 2025","Thu May 15 18:33:41 GMT 2025","0","","ui.POM.LoginFormTestPOM","","ui.POM.LoginFormTestPOM","loginFormTest","loginFormTest()",""
"passed","Thu May 15 18:33:48 GMT 2025","Thu May 15 18:33:49 GMT 2025","957","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testNavigationPageLink","testNavigationPageLink()",""
"passed","Thu May 15 18:34:01 GMT 2025","Thu May 15 18:34:02 GMT 2025","712","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testTextareaField","testTextareaField()",""
"passed","Thu May 15 18:33:56 GMT 2025","Thu May 15 18:33:57 GMT 2025","620","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testReadonlyInput","testReadonlyInput()",""
"skipped","Thu May 15 18:34:07 GMT 2025","Thu May 15 18:34:07 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testMouseOverLink","testMouseOverLink()",""
"skipped","Thu May 15 18:33:41 GMT 2025","Thu May 15 18:33:41 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testReturnLink","testReturnLink()",""
"skipped","Thu May 15 18:34:07 GMT 2025","Thu May 15 18:34:07 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testSlowCalculatorLink","testSlowCalculatorLink()",""
"skipped","Thu May 15 18:34:07 GMT 2025","Thu May 15 18:34:07 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testPasswordField","testPasswordField()",""
"passed","Thu May 15 18:33:50 GMT 2025","Thu May 15 18:33:51 GMT 2025","850","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDrawInCanvasLink","testDrawInCanvasLink()",""
"passed","Thu May 15 18:33:59 GMT 2025","Thu May 15 18:34:01 GMT 2025","1873","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testFormSubmission","testFormSubmission()",""
