"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 13 20:26:33 GMT 2025","Tue May 13 20:26:33 GMT 2025","89","","baseTests.DebugPropertyTest","","baseTests.DebugPropertyTest","printSystemProperties","printSystemProperties()",""
"skipped","Tue May 13 20:26:54 GMT 2025","Tue May 13 20:26:54 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testReadonlyInput","testReadonlyInput()",""
"skipped","Tue May 13 20:26:54 GMT 2025","Tue May 13 20:26:54 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testPasswordField","testPasswordField()",""
"broken","Tue May 13 20:26:38 GMT 2025","Tue May 13 20:26:39 GMT 2025","545","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testHeaderComponents","testHeaderComponents()",""
"passed","Tue May 13 20:26:45 GMT 2025","Tue May 13 20:26:46 GMT 2025","867","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testSelectOption","testSelectOption()",""
"passed","Tue May 13 20:26:48 GMT 2025","Tue May 13 20:26:49 GMT 2025","755","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testTextareaField","testTextareaField()",""
"skipped","Tue May 13 20:26:54 GMT 2025","Tue May 13 20:26:54 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testSlowCalculatorLink","testSlowCalculatorLink()",""
"skipped","Tue May 13 20:26:33 GMT 2025","Tue May 13 20:26:33 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testRadioButton","testRadioButton()",""
"passed","Tue May 13 20:26:33 GMT 2025","Tue May 13 20:26:33 GMT 2025","1","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCloneAndModifySalary","testCloneAndModifySalary()",""
"skipped","Tue May 13 20:26:33 GMT 2025","Tue May 13 20:26:33 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testCheckbox","testCheckbox()",""
"skipped","Tue May 13 20:26:33 GMT 2025","Tue May 13 20:26:33 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testColorPicker","testColorPicker()",""
"skipped","Tue May 13 20:26:33 GMT 2025","Tue May 13 20:26:33 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testPasswordField","testPasswordField()",""
"passed","Tue May 13 20:26:43 GMT 2025","Tue May 13 20:26:44 GMT 2025","680","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testReadonlyInput","testReadonlyInput()",""
"skipped","Tue May 13 20:26:33 GMT 2025","Tue May 13 20:26:33 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testTextInput","testTextInput()",""
"skipped","Tue May 13 20:26:33 GMT 2025","Tue May 13 20:26:33 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testSelectOption","testSelectOption()",""
"passed","Tue May 13 20:26:46 GMT 2025","Tue May 13 20:26:48 GMT 2025","1923","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testFormSubmission","testFormSubmission()",""
"skipped","Tue May 13 20:26:33 GMT 2025","Tue May 13 20:26:33 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testWebFormLink","testWebFormLink()",""
"broken","Tue May 13 20:26:35 GMT 2025","Tue May 13 20:26:36 GMT 2025","542","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testMouseOverLink","testMouseOverLink()",""
"skipped","Tue May 13 20:26:33 GMT 2025","Tue May 13 20:26:33 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testNavigationLink","testNavigationLink()",""
"passed","Tue May 13 20:26:44 GMT 2025","Tue May 13 20:26:45 GMT 2025","745","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testRadioButton","testRadioButton()",""
"skipped","Tue May 13 20:26:54 GMT 2025","Tue May 13 20:26:54 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testDisabledInput","testDisabledInput()",""
"skipped","Tue May 13 20:26:54 GMT 2025","Tue May 13 20:26:54 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDropdownMenuLink","testDropdownMenuLink()",""
"skipped","Tue May 13 20:26:54 GMT 2025","Tue May 13 20:26:54 GMT 2025","0","","ui.selenide.LoginTest","","ui.selenide.LoginTest","successfulLoginTest","successfulLoginTest()",""
"skipped","Tue May 13 20:26:54 GMT 2025","Tue May 13 20:26:54 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testTextInput","testTextInput()",""
"passed","Tue May 13 20:26:42 GMT 2025","Tue May 13 20:26:43 GMT 2025","742","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testPasswordField","testPasswordField()",""
"broken","Tue May 13 20:26:33 GMT 2025","Tue May 13 20:26:35 GMT 2025","1793","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDragAndDropLink","testDragAndDropLink()",""
"passed","Tue May 13 20:26:50 GMT 2025","Tue May 13 20:26:51 GMT 2025","866","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testReturnLink","testReturnLink()",""
"passed","Tue May 13 20:26:41 GMT 2025","Tue May 13 20:26:42 GMT 2025","734","","ui.POM_Factory.LoginFormTest","","ui.POM_Factory.LoginFormTest","testHeaderComponents","testHeaderComponents()",""
"skipped","Tue May 13 20:26:33 GMT 2025","Tue May 13 20:26:33 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testReturnLink","testReturnLink()",""
"skipped","Tue May 13 20:26:54 GMT 2025","Tue May 13 20:26:54 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testNavigationPageLink","testNavigationPageLink()",""
"skipped","Tue May 13 20:26:54 GMT 2025","Tue May 13 20:26:54 GMT 2025","1","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDrawInCanvasLink","testDrawInCanvasLink()",""
"skipped","Tue May 13 20:26:33 GMT 2025","Tue May 13 20:26:33 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testTextareaField","testTextareaField()",""
"broken","Tue May 13 20:26:39 GMT 2025","Tue May 13 20:26:40 GMT 2025","540","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testWebFormLink","testWebFormLink()",""
"passed","Tue May 13 20:26:52 GMT 2025","Tue May 13 20:26:53 GMT 2025","732","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testHeaderComponents","testHeaderComponents()",""
"skipped","Tue May 13 20:26:33 GMT 2025","Tue May 13 20:26:33 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testFileUpload","testFileUpload()",""
"skipped","Tue May 13 20:26:33 GMT 2025","Tue May 13 20:26:33 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testReadonlyInput","testReadonlyInput()",""
"skipped","Tue May 13 20:26:54 GMT 2025","Tue May 13 20:26:54 GMT 2025","0","","ui.oldTests.LoginFormTest","","ui.oldTests.LoginFormTest","loginFormTest","loginFormTest()",""
"skipped","Tue May 13 20:26:54 GMT 2025","Tue May 13 20:26:54 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testMouseOverLink","testMouseOverLink()",""
"skipped","Tue May 13 20:26:54 GMT 2025","Tue May 13 20:26:54 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testReturnLink","testReturnLink()",""
"passed","Tue May 13 20:26:42 GMT 2025","Tue May 13 20:26:42 GMT 2025","814","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testCheckbox","testCheckbox()",""
"passed","Tue May 13 20:26:33 GMT 2025","Tue May 13 20:26:33 GMT 2025","5","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testChangeSalaryUsingToBuilder","testChangeSalaryUsingToBuilder()",""
"broken","Tue May 13 20:26:53 GMT 2025","Tue May 13 20:26:54 GMT 2025","974","","ui.POM_FluentTest.WebFormFluentTest","","ui.POM_FluentTest.WebFormFluentTest","testWebFormFluentPage","testWebFormFluentPage()",""
"passed","Tue May 13 20:26:53 GMT 2025","Tue May 13 20:26:53 GMT 2025","709","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testDisabledInput","testDisabledInput()",""
"broken","Tue May 13 20:26:37 GMT 2025","Tue May 13 20:26:37 GMT 2025","569","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testNavigationPageLink","testNavigationPageLink()",""
"skipped","Tue May 13 20:26:54 GMT 2025","Tue May 13 20:26:54 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testLoadingImagesLink","testLoadingImagesLink()",""
"broken","Tue May 13 20:26:37 GMT 2025","Tue May 13 20:26:38 GMT 2025","552","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testSlowCalculatorLink","testSlowCalculatorLink()",""
"broken","Tue May 13 20:26:39 GMT 2025","Tue May 13 20:26:39 GMT 2025","510","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDrawInCanvasLink","testDrawInCanvasLink()",""
"passed","Tue May 13 20:26:33 GMT 2025","Tue May 13 20:26:33 GMT 2025","1","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCreateWorkerUsingBuilder","testCreateWorkerUsingBuilder()",""
"passed","Tue May 13 20:26:33 GMT 2025","Tue May 13 20:26:33 GMT 2025","1","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCreateWorkerUsingConstructor","testCreateWorkerUsingConstructor()",""
"skipped","Tue May 13 20:26:54 GMT 2025","Tue May 13 20:26:54 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testNavigationLink","testNavigationLink()",""
"broken","Tue May 13 20:26:36 GMT 2025","Tue May 13 20:26:37 GMT 2025","545","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDropdownMenuLink","testDropdownMenuLink()",""
"broken","Tue May 13 20:26:40 GMT 2025","Tue May 13 20:26:41 GMT 2025","842","","ui.POM_Factory.LoginFormTest","","ui.POM_Factory.LoginFormTest","testLogin","testLogin()",""
"skipped","Tue May 13 20:26:54 GMT 2025","Tue May 13 20:26:54 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testTextareaField","testTextareaField()",""
"skipped","Tue May 13 20:26:33 GMT 2025","Tue May 13 20:26:33 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testFormSubmission","testFormSubmission()",""
