"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 15 17:35:27 GMT 2025","Thu May 15 17:35:28 GMT 2025","669","","ui.POM_Factory.LoginFormTest","","ui.POM_Factory.LoginFormTest","testHeaderComponents","testHeaderComponents()",""
"passed","Thu May 15 17:35:16 GMT 2025","Thu May 15 17:35:16 GMT 2025","85","","baseTests.DebugPropertyTest","","baseTests.DebugPropertyTest","printSystemProperties","printSystemProperties()",""
"passed","Thu May 15 17:35:35 GMT 2025","Thu May 15 17:35:35 GMT 2025","659","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testColorPicker","testColorPicker()",""
"skipped","Thu May 15 17:35:16 GMT 2025","Thu May 15 17:35:16 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testNavigationLink","testNavigationLink()",""
"passed","Thu May 15 17:35:16 GMT 2025","Thu May 15 17:35:16 GMT 2025","19","","ui.BilderTests.LoginLombokTest","","ui.BilderTests.LoginLombokTest","testCreateUserUsingBuilder","testCreateUserUsingBuilder()",""
"skipped","Thu May 15 17:35:40 GMT 2025","Thu May 15 17:35:40 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testTextareaField","testTextareaField()",""
"broken","Thu May 15 17:35:39 GMT 2025","Thu May 15 17:35:40 GMT 2025","884","","ui.POM_FluentTest.WebFormFluentTest","","ui.POM_FluentTest.WebFormFluentTest","testWebFormFluentPage","testWebFormFluentPage()",""
"skipped","Thu May 15 17:35:40 GMT 2025","Thu May 15 17:35:40 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testNavigationLink","testNavigationLink()",""
"skipped","Thu May 15 17:35:40 GMT 2025","Thu May 15 17:35:40 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testDisabledInput","testDisabledInput()",""
"skipped","Thu May 15 17:35:16 GMT 2025","Thu May 15 17:35:16 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testColorPicker","testColorPicker()",""
"passed","Thu May 15 17:35:26 GMT 2025","Thu May 15 17:35:27 GMT 2025","895","","ui.POM_Factory.LoginFormTest","","ui.POM_Factory.LoginFormTest","testLogin","testLogin()",""
"skipped","Thu May 15 17:35:16 GMT 2025","Thu May 15 17:35:16 GMT 2025","0","","ui.POM.LoginFormTestPOM","","ui.POM.LoginFormTestPOM","loginFormTest","loginFormTest()",""
"passed","Thu May 15 17:35:16 GMT 2025","Thu May 15 17:35:16 GMT 2025","3","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testChangeSalaryUsingToBuilder","testChangeSalaryUsingToBuilder()",""
"passed","Thu May 15 17:35:21 GMT 2025","Thu May 15 17:35:22 GMT 2025","715","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDropdownMenuLink","testDropdownMenuLink()",""
"skipped","Thu May 15 17:35:16 GMT 2025","Thu May 15 17:35:16 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testSelectOption","testSelectOption()",""
"passed","Thu May 15 17:35:38 GMT 2025","Thu May 15 17:35:39 GMT 2025","613","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testDisabledInput","testDisabledInput()",""
"skipped","Thu May 15 17:35:40 GMT 2025","Thu May 15 17:35:40 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testReturnLink","testReturnLink()",""
"skipped","Thu May 15 17:35:40 GMT 2025","Thu May 15 17:35:40 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDrawInCanvasLink","testDrawInCanvasLink()",""
"passed","Thu May 15 17:35:25 GMT 2025","Thu May 15 17:35:26 GMT 2025","650","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testHeader","testHeader()",""
"passed","Thu May 15 17:35:35 GMT 2025","Thu May 15 17:35:36 GMT 2025","716","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testDateInput","testDateInput()",""
"passed","Thu May 15 17:35:20 GMT 2025","Thu May 15 17:35:21 GMT 2025","706","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testLoadingImagesLink","testLoadingImagesLink()",""
"skipped","Thu May 15 17:35:16 GMT 2025","Thu May 15 17:35:16 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testReturnLink","testReturnLink()",""
"skipped","Thu May 15 17:35:16 GMT 2025","Thu May 15 17:35:16 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testReadonlyInput","testReadonlyInput()",""
"passed","Thu May 15 17:35:16 GMT 2025","Thu May 15 17:35:16 GMT 2025","1","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCloneAndModifySalary","testCloneAndModifySalary()",""
"skipped","Thu May 15 17:35:16 GMT 2025","Thu May 15 17:35:16 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testWebFormLink","testWebFormLink()",""
