"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","3","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testFormSubmission","testFormSubmission()",""
"skipped","Tue May 13 17:21:16 GMT 2025","Tue May 13 17:21:16 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testSelectOption","testSelectOption()",""
"broken","Tue May 13 17:21:16 GMT 2025","Tue May 13 17:21:16 GMT 2025","4","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testNavigationLink","testNavigationLink()",""
"skipped","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","0","","ui.selenide.LoginTest","","ui.selenide.LoginTest","successfulLoginTest","successfulLoginTest()",""
"skipped","Tue May 13 17:21:16 GMT 2025","Tue May 13 17:21:16 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testWebFormLink","testWebFormLink()",""
"skipped","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDrawInCanvasLink","testDrawInCanvasLink()",""
"broken","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","1","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testFileUpload","testFileUpload()",""
"broken","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","2","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testCheckbox","testCheckbox()",""
"passed","Tue May 13 17:21:16 GMT 2025","Tue May 13 17:21:16 GMT 2025","3","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testChangeSalaryUsingToBuilder","testChangeSalaryUsingToBuilder()",""
"skipped","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testTextInput","testTextInput()",""
"skipped","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDragAndDropLink","testDragAndDropLink()",""
"skipped","Tue May 13 17:21:16 GMT 2025","Tue May 13 17:21:16 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testDisabledInput","testDisabledInput()",""
"broken","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","2","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testPasswordField","testPasswordField()",""
"broken","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","3","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testReadonlyInput","testReadonlyInput()",""
"broken","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","7","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testSlowCalculatorLink","testSlowCalculatorLink()",""
"broken","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","4","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testColorPicker","testColorPicker()",""
"broken","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","1","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testHeaderComponents","testHeaderComponents()",""
"skipped","Tue May 13 17:21:16 GMT 2025","Tue May 13 17:21:16 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testReadonlyInput","testReadonlyInput()",""
"broken","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","3","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDrawInCanvasLink","testDrawInCanvasLink()",""
"skipped","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testReturnLink","testReturnLink()",""
"skipped","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDropdownMenuLink","testDropdownMenuLink()",""
"skipped","Tue May 13 17:21:16 GMT 2025","Tue May 13 17:21:16 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testReturnLink","testReturnLink()",""
"skipped","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testNavigationLink","testNavigationLink()",""
"passed","Tue May 13 17:21:16 GMT 2025","Tue May 13 17:21:16 GMT 2025","1","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCreateWorkerUsingBuilder","testCreateWorkerUsingBuilder()",""
"skipped","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testWebFormLink","testWebFormLink()",""
"skipped","Tue May 13 17:21:16 GMT 2025","Tue May 13 17:21:16 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testColorPicker","testColorPicker()",""
"skipped","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testPasswordField","testPasswordField()",""
"broken","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","3","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testTextInput","testTextInput()",""
"broken","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","2","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testWebFormLink","testWebFormLink()",""
"broken","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","4","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testDateInput","testDateInput()",""
"broken","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","1","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testReturnLink","testReturnLink()",""
"skipped","Tue May 13 17:21:16 GMT 2025","Tue May 13 17:21:16 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testPasswordField","testPasswordField()",""
"skipped","Tue May 13 17:21:16 GMT 2025","Tue May 13 17:21:16 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testRadioButton","testRadioButton()",""
"skipped","Tue May 13 17:21:16 GMT 2025","Tue May 13 17:21:16 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testTextareaField","testTextareaField()",""
"broken","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","4","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testHeader","testHeader()",""
"broken","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","8","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDropdownMenuLink","testDropdownMenuLink()",""
"skipped","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testHeader","testHeader()",""
"skipped","Tue May 13 17:21:16 GMT 2025","Tue May 13 17:21:16 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testDropdownMenuLink","testDropdownMenuLink()",""
"passed","Tue May 13 17:21:16 GMT 2025","Tue May 13 17:21:16 GMT 2025","1","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCreateWorkerUsingConstructor","testCreateWorkerUsingConstructor()",""
"broken","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","4","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testNavigationPageLink","testNavigationPageLink()",""
"skipped","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testDisabledInput","testDisabledInput()",""
"passed","Tue May 13 17:21:16 GMT 2025","Tue May 13 17:21:16 GMT 2025","1","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCloneAndModifySalary","testCloneAndModifySalary()",""
"skipped","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testNavigationPageLink","testNavigationPageLink()",""
"skipped","Tue May 13 17:21:17 GMT 2025","Tue May 13 17:21:17 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testMouseOverLink","testMouseOverLink()",""
