"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 12 20:14:08 GMT 2025","Mon May 12 20:14:08 GMT 2025","3","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testColorPicker","testColorPicker()",""
"broken","Mon May 12 20:14:08 GMT 2025","Mon May 12 20:14:08 GMT 2025","6","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDragAndDropLink","testDragAndDropLink()",""
"failed","Mon May 12 20:14:07 GMT 2025","Mon May 12 20:14:07 GMT 2025","10","","ui.BilderTests.LoginLombokTest","","ui.BilderTests.LoginLombokTest","testChangePasswordUsingToBuilder","testChangePasswordUsingToBuilder()",""
"broken","Mon May 12 20:14:08 GMT 2025","Mon May 12 20:14:08 GMT 2025","1","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testWebFormLink","testWebFormLink()",""
"broken","Mon May 12 20:14:08 GMT 2025","Mon May 12 20:14:08 GMT 2025","4","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testWebFormLink","testWebFormLink()",""
"broken","Mon May 12 20:14:08 GMT 2025","Mon May 12 20:14:08 GMT 2025","2","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testDisabledInput","testDisabledInput()",""
"broken","Mon May 12 20:14:08 GMT 2025","Mon May 12 20:14:08 GMT 2025","2","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testMouseOverLink","testMouseOverLink()",""
"passed","Mon May 12 20:14:07 GMT 2025","Mon May 12 20:14:07 GMT 2025","3","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testChangeSalaryUsingToBuilder","testChangeSalaryUsingToBuilder()",""
"broken","Mon May 12 20:14:08 GMT 2025","Mon May 12 20:14:08 GMT 2025","2","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testNavigationPageLink","testNavigationPageLink()",""
"broken","Mon May 12 20:14:08 GMT 2025","Mon May 12 20:14:08 GMT 2025","2","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testReturnLink","testReturnLink()",""
"broken","Mon May 12 20:14:08 GMT 2025","Mon May 12 20:14:08 GMT 2025","3","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testFileUpload","testFileUpload()",""
