"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 15 17:29:05 GMT 2025","Thu May 15 17:29:05 GMT 2025","821","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testSelectOption","testSelectOption()",""
"skipped","Thu May 15 17:28:51 GMT 2025","Thu May 15 17:28:51 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testReturnLink","testReturnLink()",""
"passed","Thu May 15 17:28:51 GMT 2025","Thu May 15 17:28:51 GMT 2025","1","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCreateWorkerUsingBuilder","testCreateWorkerUsingBuilder()",""
"skipped","Thu May 15 17:28:51 GMT 2025","Thu May 15 17:28:51 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testColorPicker","testColorPicker()",""
"passed","Thu May 15 17:28:59 GMT 2025","Thu May 15 17:29:00 GMT 2025","801","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testWebFormLink","testWebFormLink()",""
"passed","Thu May 15 17:28:51 GMT 2025","Thu May 15 17:28:53 GMT 2025","2176","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDragAndDropLink","testDragAndDropLink()",""
"skipped","Thu May 15 17:29:14 GMT 2025","Thu May 15 17:29:14 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testReadonlyInput","testReadonlyInput()",""
"passed","Thu May 15 17:29:05 GMT 2025","Thu May 15 17:29:06 GMT 2025","689","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testTextInput","testTextInput()",""
"skipped","Thu May 15 17:29:14 GMT 2025","Thu May 15 17:29:14 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testSlowCalculatorLink","testSlowCalculatorLink()",""
"passed","Thu May 15 17:28:57 GMT 2025","Thu May 15 17:28:58 GMT 2025","706","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testHeaderComponents","testHeaderComponents()",""
"skipped","Thu May 15 17:28:51 GMT 2025","Thu May 15 17:28:51 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testFileUpload","testFileUpload()",""
"passed","Thu May 15 17:28:54 GMT 2025","Thu May 15 17:28:54 GMT 2025","757","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testMouseOverLink","testMouseOverLink()",""
"passed","Thu May 15 17:28:51 GMT 2025","Thu May 15 17:28:51 GMT 2025","2","","ui.BilderTests.LoginLombokTest","","ui.BilderTests.LoginLombokTest","testChangePasswordUsingToBuilder","testChangePasswordUsingToBuilder()",""
"passed","Thu May 15 17:28:56 GMT 2025","Thu May 15 17:28:57 GMT 2025","822","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testNavigationPageLink","testNavigationPageLink()",""
"passed","Thu May 15 17:28:51 GMT 2025","Thu May 15 17:28:51 GMT 2025","4","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testChangeSalaryUsingToBuilder","testChangeSalaryUsingToBuilder()",""
"passed","Thu May 15 17:28:55 GMT 2025","Thu May 15 17:28:56 GMT 2025","730","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDropdownMenuLink","testDropdownMenuLink()",""
"skipped","Thu May 15 17:28:51 GMT 2025","Thu May 15 17:28:51 GMT 2025","0","","ui.POM.LoginFormTestPOM","","ui.POM.LoginFormTestPOM","loginFormTest","loginFormTest()",""
"skipped","Thu May 15 17:28:51 GMT 2025","Thu May 15 17:28:51 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testPasswordField","testPasswordField()",""
"passed","Thu May 15 17:29:12 GMT 2025","Thu May 15 17:29:13 GMT 2025","631","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testDisabledInput","testDisabledInput()",""
"skipped","Thu May 15 17:29:14 GMT 2025","Thu May 15 17:29:14 GMT 2025","0","","ui.oldTests.LoginFormTest","","ui.oldTests.LoginFormTest","loginFormTest","loginFormTest()",""
"skipped","Thu May 15 17:29:14 GMT 2025","Thu May 15 17:29:14 GMT 2025","0","","ui.selenide.LoginTest","","ui.selenide.LoginTest","successfulLoginTest","successfulLoginTest()",""
"passed","Thu May 15 17:29:03 GMT 2025","Thu May 15 17:29:03 GMT 2025","692","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testPasswordField","testPasswordField()",""
"skipped","Thu May 15 17:28:51 GMT 2025","Thu May 15 17:28:51 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testDisabledInput","testDisabledInput()",""
"skipped","Thu May 15 17:29:14 GMT 2025","Thu May 15 17:29:14 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testLoadingImagesLink","testLoadingImagesLink()",""
"skipped","Thu May 15 17:28:51 GMT 2025","Thu May 15 17:28:51 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testNavigationLink","testNavigationLink()",""
"skipped","Thu May 15 17:29:14 GMT 2025","Thu May 15 17:29:14 GMT 2025","1","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testPasswordField","testPasswordField()",""
"skipped","Thu May 15 17:28:51 GMT 2025","Thu May 15 17:28:51 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testDropdownMenuLink","testDropdownMenuLink()",""
"passed","Thu May 15 17:28:51 GMT 2025","Thu May 15 17:28:51 GMT 2025","1","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCloneAndModifySalary","testCloneAndModifySalary()",""
"skipped","Thu May 15 17:29:14 GMT 2025","Thu May 15 17:29:14 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testNavigationPageLink","testNavigationPageLink()",""
"passed","Thu May 15 17:29:01 GMT 2025","Thu May 15 17:29:02 GMT 2025","647","","ui.POM_Factory.LoginFormTest","","ui.POM_Factory.LoginFormTest","testHeaderComponents","testHeaderComponents()",""
"skipped","Thu May 15 17:28:51 GMT 2025","Thu May 15 17:28:51 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testRadioButton","testRadioButton()",""
"skipped","Thu May 15 17:29:14 GMT 2025","Thu May 15 17:29:14 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testReturnLink","testReturnLink()",""
"passed","Thu May 15 17:29:09 GMT 2025","Thu May 15 17:29:10 GMT 2025","732","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testDateInput","testDateInput()",""
"passed","Thu May 15 17:28:57 GMT 2025","Thu May 15 17:28:57 GMT 2025","746","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testSlowCalculatorLink","testSlowCalculatorLink()",""
"passed","Thu May 15 17:28:58 GMT 2025","Thu May 15 17:28:59 GMT 2025","712","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDrawInCanvasLink","testDrawInCanvasLink()",""
"passed","Thu May 15 17:29:06 GMT 2025","Thu May 15 17:29:08 GMT 2025","1868","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testFormSubmission","testFormSubmission()",""
"passed","Thu May 15 17:28:54 GMT 2025","Thu May 15 17:28:55 GMT 2025","743","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testLoadingImagesLink","testLoadingImagesLink()",""
"passed","Thu May 15 17:29:04 GMT 2025","Thu May 15 17:29:05 GMT 2025","679","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testRadioButton","testRadioButton()",""
"skipped","Thu May 15 17:29:14 GMT 2025","Thu May 15 17:29:14 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDropdownMenuLink","testDropdownMenuLink()",""
"passed","Thu May 15 17:29:12 GMT 2025","Thu May 15 17:29:12 GMT 2025","684","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testHeaderComponents","testHeaderComponents()",""
"passed","Thu May 15 17:29:00 GMT 2025","Thu May 15 17:29:01 GMT 2025","869","","ui.POM_Factory.LoginFormTest","","ui.POM_Factory.LoginFormTest","testLogin","testLogin()",""
"skipped","Thu May 15 17:28:51 GMT 2025","Thu May 15 17:28:51 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testWebFormLink","testWebFormLink()",""
"skipped","Thu May 15 17:28:51 GMT 2025","Thu May 15 17:28:51 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testTextInput","testTextInput()",""
