"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 15 19:03:45 GMT 2025","Thu May 15 19:03:46 GMT 2025","745","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testNavigationLink","testNavigationLink()",""
"passed","Thu May 15 19:04:02 GMT 2025","Thu May 15 19:04:03 GMT 2025","828","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testReturnLink","testReturnLink()",""
"passed","Thu May 15 19:03:58 GMT 2025","Thu May 15 19:04:00 GMT 2025","1854","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testFormSubmission","testFormSubmission()",""
"skipped","Thu May 15 19:03:42 GMT 2025","Thu May 15 19:03:42 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testDropdownMenuLink","testDropdownMenuLink()",""
"skipped","Thu May 15 19:04:06 GMT 2025","Thu May 15 19:04:06 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testDisabledInput","testDisabledInput()",""
"passed","Thu May 15 19:04:04 GMT 2025","Thu May 15 19:04:05 GMT 2025","677","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testHeaderComponents","testHeaderComponents()",""
"passed","Thu May 15 19:03:55 GMT 2025","Thu May 15 19:03:56 GMT 2025","713","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testPasswordField","testPasswordField()",""
"skipped","Thu May 15 19:04:06 GMT 2025","Thu May 15 19:04:06 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testSlowCalculatorLink","testSlowCalculatorLink()",""
"passed","Thu May 15 19:03:52 GMT 2025","Thu May 15 19:03:52 GMT 2025","633","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testHeader","testHeader()",""
"passed","Thu May 15 19:03:57 GMT 2025","Thu May 15 19:03:58 GMT 2025","796","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testSelectOption","testSelectOption()",""
"skipped","Thu May 15 19:03:43 GMT 2025","Thu May 15 19:03:43 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testDateInput","testDateInput()",""
