"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue May 13 19:40:36 GMT 2025","Tue May 13 19:40:36 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testMouseOverLink","testMouseOverLink()",""
"broken","Tue May 13 19:40:25 GMT 2025","Tue May 13 19:40:26 GMT 2025","487","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testSlowCalculatorLink","testSlowCalculatorLink()",""
"broken","Tue May 13 19:40:31 GMT 2025","Tue May 13 19:40:32 GMT 2025","465","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testFormSubmission","testFormSubmission()",""
"broken","Tue May 13 19:40:25 GMT 2025","Tue May 13 19:40:25 GMT 2025","490","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testNavigationPageLink","testNavigationPageLink()",""
"skipped","Tue May 13 19:40:36 GMT 2025","Tue May 13 19:40:36 GMT 2025","0","","ui.selenide.LoginTest","","ui.selenide.LoginTest","successfulLoginTest","successfulLoginTest()",""
"skipped","Tue May 13 19:40:21 GMT 2025","Tue May 13 19:40:21 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testDropdownMenuLink","testDropdownMenuLink()",""
"broken","Tue May 13 19:40:32 GMT 2025","Tue May 13 19:40:33 GMT 2025","476","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testColorPicker","testColorPicker()",""
"broken","Tue May 13 19:40:26 GMT 2025","Tue May 13 19:40:27 GMT 2025","494","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testWebFormLink","testWebFormLink()",""
"skipped","Tue May 13 19:40:36 GMT 2025","Tue May 13 19:40:36 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testTextareaField","testTextareaField()",""
"broken","Tue May 13 19:40:26 GMT 2025","Tue May 13 19:40:26 GMT 2025","477","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testHeaderComponents","testHeaderComponents()",""
"skipped","Tue May 13 19:40:21 GMT 2025","Tue May 13 19:40:21 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testRadioButton","testRadioButton()",""
"skipped","Tue May 13 19:40:21 GMT 2025","Tue May 13 19:40:21 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testCheckbox","testCheckbox()",""
"broken","Tue May 13 19:40:33 GMT 2025","Tue May 13 19:40:33 GMT 2025","479","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testDateInput","testDateInput()",""
"skipped","Tue May 13 19:40:21 GMT 2025","Tue May 13 19:40:21 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testSelectOption","testSelectOption()",""
