"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testWebFormLink","testWebFormLink()",""
"broken","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","15","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDragAndDropLink","testDragAndDropLink()",""
"skipped","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","0","","ui.POM.LoginFormTestPOM","","ui.POM.LoginFormTestPOM","loginFormTest","loginFormTest()",""
"broken","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","3","","ui.POM_FluentTest.WebFormFluentTest","","ui.POM_FluentTest.WebFormFluentTest","testWebFormFluentPage","testWebFormFluentPage()",""
"passed","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","1","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCreateWorkerUsingBuilder","testCreateWorkerUsingBuilder()",""
"skipped","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDropdownMenuLink","testDropdownMenuLink()",""
"skipped","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testColorPicker","testColorPicker()",""
"skipped","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testTextareaField","testTextareaField()",""
"skipped","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testReadonlyInput","testReadonlyInput()",""
"broken","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","3","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testHeader","testHeader()",""
"broken","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","2","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testNavigationPageLink","testNavigationPageLink()",""
"skipped","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testMouseOverLink","testMouseOverLink()",""
"broken","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","3","","ui.POM_Factory.LoginFormTest","","ui.POM_Factory.LoginFormTest","testHeaderComponents","testHeaderComponents()",""
"broken","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","3","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testTextInput","testTextInput()",""
"broken","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","3","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testNavigationLink","testNavigationLink()",""
"broken","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","2","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testReturnLink","testReturnLink()",""
"broken","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","3","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testFileUpload","testFileUpload()",""
"skipped","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testWebFormLink","testWebFormLink()",""
"skipped","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testRadioButton","testRadioButton()",""
"broken","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","2","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testMouseOverLink","testMouseOverLink()",""
"skipped","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testCheckbox","testCheckbox()",""
"skipped","Tue May 13 17:22:01 GMT 2025","Tue May 13 17:22:01 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDragAndDropLink","testDragAndDropLink()",""
