"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 13 17:41:29 GMT 2025","Tue May 13 17:41:29 GMT 2025","410","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testFormSubmission","testFormSubmission()",""
"broken","Tue May 13 17:41:31 GMT 2025","Tue May 13 17:41:31 GMT 2025","420","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testFileUpload","testFileUpload()",""
"skipped","Tue May 13 17:41:19 GMT 2025","Tue May 13 17:41:19 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testRadioButton","testRadioButton()",""
"broken","Tue May 13 17:41:22 GMT 2025","Tue May 13 17:41:23 GMT 2025","421","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDropdownMenuLink","testDropdownMenuLink()",""
"skipped","Tue May 13 17:41:19 GMT 2025","Tue May 13 17:41:19 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testPasswordField","testPasswordField()",""
"skipped","Tue May 13 17:41:32 GMT 2025","Tue May 13 17:41:32 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testPasswordField","testPasswordField()",""
"skipped","Tue May 13 17:41:19 GMT 2025","Tue May 13 17:41:19 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testDateInput","testDateInput()",""
"passed","Tue May 13 17:41:19 GMT 2025","Tue May 13 17:41:19 GMT 2025","1","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCloneAndModifySalary","testCloneAndModifySalary()",""
"skipped","Tue May 13 17:41:32 GMT 2025","Tue May 13 17:41:32 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDragAndDropLink","testDragAndDropLink()",""
"skipped","Tue May 13 17:41:32 GMT 2025","Tue May 13 17:41:32 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testTextInput","testTextInput()",""
"passed","Tue May 13 17:41:19 GMT 2025","Tue May 13 17:41:19 GMT 2025","37","","ui.BilderTests.LoginLombokTest","","ui.BilderTests.LoginLombokTest","testCreateUserUsingBuilder","testCreateUserUsingBuilder()",""
"skipped","Tue May 13 17:41:19 GMT 2025","Tue May 13 17:41:19 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testWebFormLink","testWebFormLink()",""
"skipped","Tue May 13 17:41:19 GMT 2025","Tue May 13 17:41:19 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testTextareaField","testTextareaField()",""
"skipped","Tue May 13 17:41:19 GMT 2025","Tue May 13 17:41:19 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testReturnLink","testReturnLink()",""
"broken","Tue May 13 17:41:25 GMT 2025","Tue May 13 17:41:25 GMT 2025","407","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testWebFormLink","testWebFormLink()",""
"broken","Tue May 13 17:41:26 GMT 2025","Tue May 13 17:41:26 GMT 2025","421","","ui.POM_Factory.LoginFormTest","","ui.POM_Factory.LoginFormTest","testHeaderComponents","testHeaderComponents()",""
"skipped","Tue May 13 17:41:32 GMT 2025","Tue May 13 17:41:32 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testDisabledInput","testDisabledInput()",""
"broken","Tue May 13 17:41:30 GMT 2025","Tue May 13 17:41:30 GMT 2025","402","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testDateInput","testDateInput()",""
"broken","Tue May 13 17:41:24 GMT 2025","Tue May 13 17:41:25 GMT 2025","420","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDrawInCanvasLink","testDrawInCanvasLink()",""
"broken","Tue May 13 17:41:31 GMT 2025","Tue May 13 17:41:32 GMT 2025","428","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testHeaderComponents","testHeaderComponents()",""
"broken","Tue May 13 17:41:26 GMT 2025","Tue May 13 17:41:27 GMT 2025","435","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testCheckbox","testCheckbox()",""
"broken","Tue May 13 17:41:30 GMT 2025","Tue May 13 17:41:31 GMT 2025","439","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testReturnLink","testReturnLink()",""
"broken","Tue May 13 17:41:25 GMT 2025","Tue May 13 17:41:26 GMT 2025","404","","ui.POM_Factory.LoginFormTest","","ui.POM_Factory.LoginFormTest","testLogin","testLogin()",""
"skipped","Tue May 13 17:41:32 GMT 2025","Tue May 13 17:41:32 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testNavigationLink","testNavigationLink()",""
"skipped","Tue May 13 17:41:19 GMT 2025","Tue May 13 17:41:19 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testTextInput","testTextInput()",""
"skipped","Tue May 13 17:41:32 GMT 2025","Tue May 13 17:41:32 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDrawInCanvasLink","testDrawInCanvasLink()",""
"broken","Tue May 13 17:41:28 GMT 2025","Tue May 13 17:41:29 GMT 2025","404","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testTextInput","testTextInput()",""
"skipped","Tue May 13 17:41:19 GMT 2025","Tue May 13 17:41:19 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testCheckbox","testCheckbox()",""
"skipped","Tue May 13 17:41:19 GMT 2025","Tue May 13 17:41:19 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testColorPicker","testColorPicker()",""
"skipped","Tue May 13 17:41:19 GMT 2025","Tue May 13 17:41:19 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testFileUpload","testFileUpload()",""
"skipped","Tue May 13 17:41:19 GMT 2025","Tue May 13 17:41:19 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testSelectOption","testSelectOption()",""
"skipped","Tue May 13 17:41:32 GMT 2025","Tue May 13 17:41:32 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testNavigationPageLink","testNavigationPageLink()",""
"skipped","Tue May 13 17:41:32 GMT 2025","Tue May 13 17:41:32 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testTextareaField","testTextareaField()",""
"broken","Tue May 13 17:41:29 GMT 2025","Tue May 13 17:41:30 GMT 2025","411","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testTextareaField","testTextareaField()",""
"broken","Tue May 13 17:41:30 GMT 2025","Tue May 13 17:41:30 GMT 2025","383","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testColorPicker","testColorPicker()",""
"skipped","Tue May 13 17:41:32 GMT 2025","Tue May 13 17:41:32 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testReturnLink","testReturnLink()",""
"skipped","Tue May 13 17:41:19 GMT 2025","Tue May 13 17:41:19 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testNavigationLink","testNavigationLink()",""
"broken","Tue May 13 17:41:28 GMT 2025","Tue May 13 17:41:28 GMT 2025","390","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testSelectOption","testSelectOption()",""
"skipped","Tue May 13 17:41:32 GMT 2025","Tue May 13 17:41:32 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testMouseOverLink","testMouseOverLink()",""
"broken","Tue May 13 17:41:23 GMT 2025","Tue May 13 17:41:23 GMT 2025","415","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testNavigationPageLink","testNavigationPageLink()",""
"broken","Tue May 13 17:41:22 GMT 2025","Tue May 13 17:41:22 GMT 2025","451","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testLoadingImagesLink","testLoadingImagesLink()",""
"broken","Tue May 13 17:41:27 GMT 2025","Tue May 13 17:41:28 GMT 2025","426","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testReadonlyInput","testReadonlyInput()",""
