"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 13 17:40:11 GMT 2025","Tue May 13 17:40:11 GMT 2025","385","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testColorPicker","testColorPicker()",""
"skipped","Tue May 13 17:40:14 GMT 2025","Tue May 13 17:40:14 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testNavigationPageLink","testNavigationPageLink()",""
"skipped","Tue May 13 17:40:14 GMT 2025","Tue May 13 17:40:14 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testTextInput","testTextInput()",""
"broken","Tue May 13 17:40:05 GMT 2025","Tue May 13 17:40:06 GMT 2025","432","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDrawInCanvasLink","testDrawInCanvasLink()",""
"passed","Tue May 13 17:40:01 GMT 2025","Tue May 13 17:40:01 GMT 2025","4","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCreateWorkerUsingBuilder","testCreateWorkerUsingBuilder()",""
"passed","Tue May 13 17:40:01 GMT 2025","Tue May 13 17:40:01 GMT 2025","2","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCreateWorkerUsingConstructor","testCreateWorkerUsingConstructor()",""
"skipped","Tue May 13 17:40:14 GMT 2025","Tue May 13 17:40:14 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDrawInCanvasLink","testDrawInCanvasLink()",""
"skipped","Tue May 13 17:40:01 GMT 2025","Tue May 13 17:40:01 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testReturnLink","testReturnLink()",""
"broken","Tue May 13 17:40:08 GMT 2025","Tue May 13 17:40:08 GMT 2025","416","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testPasswordField","testPasswordField()",""
"skipped","Tue May 13 17:40:01 GMT 2025","Tue May 13 17:40:01 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testWebFormLink","testWebFormLink()",""
"skipped","Tue May 13 17:40:14 GMT 2025","Tue May 13 17:40:14 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testNavigationLink","testNavigationLink()",""
"skipped","Tue May 13 17:40:01 GMT 2025","Tue May 13 17:40:01 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testRadioButton","testRadioButton()",""
"passed","Tue May 13 17:40:00 GMT 2025","Tue May 13 17:40:00 GMT 2025","37","","ui.BilderTests.LoginLombokTest","","ui.BilderTests.LoginLombokTest","testCreateUserUsingBuilder","testCreateUserUsingBuilder()",""
"skipped","Tue May 13 17:40:01 GMT 2025","Tue May 13 17:40:01 GMT 2025","1","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testColorPicker","testColorPicker()",""
"skipped","Tue May 13 17:40:01 GMT 2025","Tue May 13 17:40:01 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testDropdownMenuLink","testDropdownMenuLink()",""
"broken","Tue May 13 17:40:07 GMT 2025","Tue May 13 17:40:08 GMT 2025","396","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testCheckbox","testCheckbox()",""
