"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 15 17:56:53 GMT 2025","Thu May 15 17:56:53 GMT 2025","2","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCloneAndModifySalary","testCloneAndModifySalary()",""
"passed","Thu May 15 17:56:53 GMT 2025","Thu May 15 17:56:56 GMT 2025","2927","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDragAndDropLink","testDragAndDropLink()",""
"passed","Thu May 15 17:57:13 GMT 2025","Thu May 15 17:57:14 GMT 2025","797","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testReturnLink","testReturnLink()",""
"passed","Thu May 15 17:56:58 GMT 2025","Thu May 15 17:56:59 GMT 2025","749","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDropdownMenuLink","testDropdownMenuLink()",""
"passed","Thu May 15 17:57:09 GMT 2025","Thu May 15 17:57:11 GMT 2025","1873","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testFormSubmission","testFormSubmission()",""
"skipped","Thu May 15 17:57:17 GMT 2025","Thu May 15 17:57:17 GMT 2025","0","","ui.oldTests.LoginFormTest","","ui.oldTests.LoginFormTest","loginFormTest","loginFormTest()",""
"skipped","Thu May 15 17:56:53 GMT 2025","Thu May 15 17:56:53 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testWebFormLink","testWebFormLink()",""
"skipped","Thu May 15 17:56:53 GMT 2025","Thu May 15 17:56:53 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testDisabledInput","testDisabledInput()",""
"passed","Thu May 15 17:57:00 GMT 2025","Thu May 15 17:57:01 GMT 2025","770","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testSlowCalculatorLink","testSlowCalculatorLink()",""
"passed","Thu May 15 17:57:03 GMT 2025","Thu May 15 17:57:03 GMT 2025","620","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testHeader","testHeader()",""
"passed","Thu May 15 17:57:06 GMT 2025","Thu May 15 17:57:07 GMT 2025","622","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testReadonlyInput","testReadonlyInput()",""
"passed","Thu May 15 17:57:11 GMT 2025","Thu May 15 17:57:12 GMT 2025","673","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testTextareaField","testTextareaField()",""
"passed","Thu May 15 17:57:02 GMT 2025","Thu May 15 17:57:03 GMT 2025","801","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testWebFormLink","testWebFormLink()",""
