"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue May 13 19:53:01 GMT 2025","Tue May 13 19:53:01 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testNavigationLink","testNavigationLink()",""
"passed","Tue May 13 19:53:00 GMT 2025","Tue May 13 19:53:00 GMT 2025","45","","ui.BilderTests.LoginLombokTest","","ui.BilderTests.LoginLombokTest","testCreateUserUsingBuilder","testCreateUserUsingBuilder()",""
"skipped","Tue May 13 19:53:01 GMT 2025","Tue May 13 19:53:01 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testSelectOption","testSelectOption()",""
"broken","Tue May 13 19:53:15 GMT 2025","Tue May 13 19:53:16 GMT 2025","485","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testHeaderComponents","testHeaderComponents()",""
"skipped","Tue May 13 19:53:01 GMT 2025","Tue May 13 19:53:01 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testWebFormLink","testWebFormLink()",""
"skipped","Tue May 13 19:53:17 GMT 2025","Tue May 13 19:53:17 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testTextareaField","testTextareaField()",""
"broken","Tue May 13 19:53:16 GMT 2025","Tue May 13 19:53:16 GMT 2025","548","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testDisabledInput","testDisabledInput()",""
"broken","Tue May 13 19:53:09 GMT 2025","Tue May 13 19:53:09 GMT 2025","508","","ui.POM_Factory.LoginFormTest","","ui.POM_Factory.LoginFormTest","testHeaderComponents","testHeaderComponents()",""
"skipped","Tue May 13 19:53:17 GMT 2025","Tue May 13 19:53:17 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testNavigationLink","testNavigationLink()",""
"skipped","Tue May 13 19:53:01 GMT 2025","Tue May 13 19:53:01 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testDisabledInput","testDisabledInput()",""
"skipped","Tue May 13 19:53:17 GMT 2025","Tue May 13 19:53:17 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testMouseOverLink","testMouseOverLink()",""
"passed","Tue May 13 19:53:01 GMT 2025","Tue May 13 19:53:01 GMT 2025","7","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testChangeSalaryUsingToBuilder","testChangeSalaryUsingToBuilder()",""
"broken","Tue May 13 19:53:13 GMT 2025","Tue May 13 19:53:14 GMT 2025","508","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testColorPicker","testColorPicker()",""
"broken","Tue May 13 19:53:05 GMT 2025","Tue May 13 19:53:05 GMT 2025","520","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testNavigationPageLink","testNavigationPageLink()",""
"broken","Tue May 13 19:53:03 GMT 2025","Tue May 13 19:53:04 GMT 2025","550","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testMouseOverLink","testMouseOverLink()",""
"broken","Tue May 13 19:53:04 GMT 2025","Tue May 13 19:53:04 GMT 2025","532","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testLoadingImagesLink","testLoadingImagesLink()",""
"skipped","Tue May 13 19:53:17 GMT 2025","Tue May 13 19:53:17 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testReturnLink","testReturnLink()",""
"skipped","Tue May 13 19:53:17 GMT 2025","Tue May 13 19:53:17 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testHeader","testHeader()",""
"skipped","Tue May 13 19:53:01 GMT 2025","Tue May 13 19:53:01 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testTextInput","testTextInput()",""
"skipped","Tue May 13 19:53:01 GMT 2025","Tue May 13 19:53:01 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testReadonlyInput","testReadonlyInput()",""
"skipped","Tue May 13 19:53:17 GMT 2025","Tue May 13 19:53:17 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDragAndDropLink","testDragAndDropLink()",""
"broken","Tue May 13 19:53:07 GMT 2025","Tue May 13 19:53:08 GMT 2025","534","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testHeader","testHeader()",""
"skipped","Tue May 13 19:53:01 GMT 2025","Tue May 13 19:53:01 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testReturnLink","testReturnLink()",""
"broken","Tue May 13 19:53:12 GMT 2025","Tue May 13 19:53:13 GMT 2025","517","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testFormSubmission","testFormSubmission()",""
"skipped","Tue May 13 19:53:17 GMT 2025","Tue May 13 19:53:17 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDrawInCanvasLink","testDrawInCanvasLink()",""
"broken","Tue May 13 19:53:06 GMT 2025","Tue May 13 19:53:07 GMT 2025","544","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDrawInCanvasLink","testDrawInCanvasLink()",""
