"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu May 15 18:32:59 GMT 2025","Thu May 15 18:32:59 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testSlowCalculatorLink","testSlowCalculatorLink()",""
"passed","Thu May 15 18:32:40 GMT 2025","Thu May 15 18:32:41 GMT 2025","956","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testSlowCalculatorLink","testSlowCalculatorLink()",""
"passed","Thu May 15 18:32:53 GMT 2025","Thu May 15 18:32:53 GMT 2025","728","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testTextareaField","testTextareaField()",""
"passed","Thu May 15 18:32:53 GMT 2025","Thu May 15 18:32:54 GMT 2025","696","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testColorPicker","testColorPicker()",""
"skipped","Thu May 15 18:32:33 GMT 2025","Thu May 15 18:32:33 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testCheckbox","testCheckbox()",""
"passed","Thu May 15 18:32:46 GMT 2025","Thu May 15 18:32:47 GMT 2025","919","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testCheckbox","testCheckbox()",""
"skipped","Thu May 15 18:32:33 GMT 2025","Thu May 15 18:32:33 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testColorPicker","testColorPicker()",""
"passed","Thu May 15 18:32:33 GMT 2025","Thu May 15 18:32:33 GMT 2025","3","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testChangeSalaryUsingToBuilder","testChangeSalaryUsingToBuilder()",""
"skipped","Thu May 15 18:32:59 GMT 2025","Thu May 15 18:32:59 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testNavigationLink","testNavigationLink()",""
"skipped","Thu May 15 18:32:33 GMT 2025","Thu May 15 18:32:33 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testNavigationLink","testNavigationLink()",""
"skipped","Thu May 15 18:32:33 GMT 2025","Thu May 15 18:32:33 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testReturnLink","testReturnLink()",""
"passed","Thu May 15 18:32:56 GMT 2025","Thu May 15 18:32:57 GMT 2025","706","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testHeaderComponents","testHeaderComponents()",""
"skipped","Thu May 15 18:32:33 GMT 2025","Thu May 15 18:32:33 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testTextareaField","testTextareaField()",""
"skipped","Thu May 15 18:32:33 GMT 2025","Thu May 15 18:32:33 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testPasswordField","testPasswordField()",""
"passed","Thu May 15 18:32:32 GMT 2025","Thu May 15 18:32:32 GMT 2025","91","","baseTests.DebugPropertyTest","","baseTests.DebugPropertyTest","printSystemProperties","printSystemProperties()",""
"passed","Thu May 15 18:32:43 GMT 2025","Thu May 15 18:32:44 GMT 2025","967","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testWebFormLink","testWebFormLink()",""
"passed","Thu May 15 18:32:56 GMT 2025","Thu May 15 18:32:56 GMT 2025","712","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testFileUpload","testFileUpload()",""
"passed","Thu May 15 18:32:35 GMT 2025","Thu May 15 18:32:36 GMT 2025","888","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testNavigationLink","testNavigationLink()",""
"skipped","Thu May 15 18:32:59 GMT 2025","Thu May 15 18:32:59 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDragAndDropLink","testDragAndDropLink()",""
"passed","Thu May 15 18:32:33 GMT 2025","Thu May 15 18:32:33 GMT 2025","1","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCloneAndModifySalary","testCloneAndModifySalary()",""
"skipped","Thu May 15 18:32:59 GMT 2025","Thu May 15 18:32:59 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDrawInCanvasLink","testDrawInCanvasLink()",""
"skipped","Thu May 15 18:32:59 GMT 2025","Thu May 15 18:32:59 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDropdownMenuLink","testDropdownMenuLink()",""
"skipped","Thu May 15 18:32:59 GMT 2025","Thu May 15 18:32:59 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testNavigationPageLink","testNavigationPageLink()",""
"passed","Thu May 15 18:32:49 GMT 2025","Thu May 15 18:32:50 GMT 2025","869","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testSelectOption","testSelectOption()",""
"passed","Thu May 15 18:32:37 GMT 2025","Thu May 15 18:32:38 GMT 2025","847","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testLoadingImagesLink","testLoadingImagesLink()",""
"skipped","Thu May 15 18:32:33 GMT 2025","Thu May 15 18:32:33 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testFormSubmission","testFormSubmission()",""
"passed","Thu May 15 18:32:51 GMT 2025","Thu May 15 18:32:53 GMT 2025","2035","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testFormSubmission","testFormSubmission()",""
"passed","Thu May 15 18:32:57 GMT 2025","Thu May 15 18:32:58 GMT 2025","634","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testDisabledInput","testDisabledInput()",""
"skipped","Thu May 15 18:32:59 GMT 2025","Thu May 15 18:32:59 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testLoadingImagesLink","testLoadingImagesLink()",""
"skipped","Thu May 15 18:32:59 GMT 2025","Thu May 15 18:32:59 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testReadonlyInput","testReadonlyInput()",""
"passed","Thu May 15 18:32:39 GMT 2025","Thu May 15 18:32:40 GMT 2025","946","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testNavigationPageLink","testNavigationPageLink()",""
"passed","Thu May 15 18:32:36 GMT 2025","Thu May 15 18:32:37 GMT 2025","1015","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testMouseOverLink","testMouseOverLink()",""
"passed","Thu May 15 18:32:33 GMT 2025","Thu May 15 18:32:33 GMT 2025","17","","ui.BilderTests.LoginLombokTest","","ui.BilderTests.LoginLombokTest","testCreateUserUsingBuilder","testCreateUserUsingBuilder()",""
"skipped","Thu May 15 18:32:59 GMT 2025","Thu May 15 18:32:59 GMT 2025","0","","ui.selenide.LoginTest","","ui.selenide.LoginTest","successfulLoginTest","successfulLoginTest()",""
