"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 14 15:52:59 GMT 2025","Wed May 14 15:53:00 GMT 2025","818","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDrawInCanvasLink","testDrawInCanvasLink()",""
"skipped","Wed May 14 15:53:16 GMT 2025","Wed May 14 15:53:16 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testTextInput","testTextInput()",""
"passed","Wed May 14 15:53:04 GMT 2025","Wed May 14 15:53:05 GMT 2025","736","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testPasswordField","testPasswordField()",""
"passed","Wed May 14 15:53:07 GMT 2025","Wed May 14 15:53:08 GMT 2025","714","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testTextInput","testTextInput()",""
"skipped","Wed May 14 15:53:16 GMT 2025","Wed May 14 15:53:16 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testReadonlyInput","testReadonlyInput()",""
"skipped","Wed May 14 15:53:16 GMT 2025","Wed May 14 15:53:16 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testNavigationLink","testNavigationLink()",""
"skipped","Wed May 14 15:52:50 GMT 2025","Wed May 14 15:52:50 GMT 2025","0","","ui.POM.HomePageLinkTestWithPOM","","ui.POM.HomePageLinkTestWithPOM","testWebFormLink","testWebFormLink()",""
"passed","Wed May 14 15:53:03 GMT 2025","Wed May 14 15:53:04 GMT 2025","852","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testCheckbox","testCheckbox()",""
"passed","Wed May 14 15:52:50 GMT 2025","Wed May 14 15:52:50 GMT 2025","84","","baseTests.DebugPropertyTest","","baseTests.DebugPropertyTest","printSystemProperties","printSystemProperties()",""
"passed","Wed May 14 15:52:50 GMT 2025","Wed May 14 15:52:50 GMT 2025","1","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCloneAndModifySalary","testCloneAndModifySalary()",""
"skipped","Wed May 14 15:53:16 GMT 2025","Wed May 14 15:53:16 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testDragAndDropLink","testDragAndDropLink()",""
"skipped","Wed May 14 15:53:16 GMT 2025","Wed May 14 15:53:16 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testTextareaField","testTextareaField()",""
"skipped","Wed May 14 15:53:16 GMT 2025","Wed May 14 15:53:16 GMT 2025","0","","ui.oldTests.LoginFormTest","","ui.oldTests.LoginFormTest","loginFormTest","loginFormTest()",""
"passed","Wed May 14 15:52:57 GMT 2025","Wed May 14 15:52:58 GMT 2025","957","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testSlowCalculatorLink","testSlowCalculatorLink()",""
"skipped","Wed May 14 15:52:50 GMT 2025","Wed May 14 15:52:50 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testDateInput","testDateInput()",""
"skipped","Wed May 14 15:53:16 GMT 2025","Wed May 14 15:53:16 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testNavigationPageLink","testNavigationPageLink()",""
"passed","Wed May 14 15:53:11 GMT 2025","Wed May 14 15:53:12 GMT 2025","738","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testDateInput","testDateInput()",""
