"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue May 13 18:04:46 GMT 2025","Tue May 13 18:04:46 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testFileUpload","testFileUpload()",""
"skipped","Tue May 13 18:04:46 GMT 2025","Tue May 13 18:04:46 GMT 2025","0","","ui.POM.LoginFormTestPOM","","ui.POM.LoginFormTestPOM","loginFormTest","loginFormTest()",""
"skipped","Tue May 13 18:04:46 GMT 2025","Tue May 13 18:04:46 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testDateInput","testDateInput()",""
"broken","Tue May 13 18:04:50 GMT 2025","Tue May 13 18:04:50 GMT 2025","436","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testSlowCalculatorLink","testSlowCalculatorLink()",""
"skipped","Tue May 13 18:04:59 GMT 2025","Tue May 13 18:04:59 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testNavigationLink","testNavigationLink()",""
"skipped","Tue May 13 18:04:59 GMT 2025","Tue May 13 18:04:59 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testLoadingImagesLink","testLoadingImagesLink()",""
"broken","Tue May 13 18:04:54 GMT 2025","Tue May 13 18:04:55 GMT 2025","431","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testRadioButton","testRadioButton()",""
"skipped","Tue May 13 18:04:59 GMT 2025","Tue May 13 18:04:59 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testPasswordField","testPasswordField()",""
"skipped","Tue May 13 18:04:59 GMT 2025","Tue May 13 18:04:59 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testWebFormLink","testWebFormLink()",""
"passed","Tue May 13 18:04:46 GMT 2025","Tue May 13 18:04:46 GMT 2025","4","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testChangeSalaryUsingToBuilder","testChangeSalaryUsingToBuilder()",""
"passed","Tue May 13 18:04:46 GMT 2025","Tue May 13 18:04:46 GMT 2025","1","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCreateWorkerUsingConstructor","testCreateWorkerUsingConstructor()",""
"broken","Tue May 13 18:04:56 GMT 2025","Tue May 13 18:04:56 GMT 2025","465","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testTextareaField","testTextareaField()",""
"broken","Tue May 13 18:04:51 GMT 2025","Tue May 13 18:04:51 GMT 2025","442","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDrawInCanvasLink","testDrawInCanvasLink()",""
"broken","Tue May 13 18:04:53 GMT 2025","Tue May 13 18:04:53 GMT 2025","448","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testCheckbox","testCheckbox()",""
"skipped","Tue May 13 18:04:46 GMT 2025","Tue May 13 18:04:46 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testTextareaField","testTextareaField()",""
"skipped","Tue May 13 18:04:59 GMT 2025","Tue May 13 18:04:59 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testHeader","testHeader()",""
"skipped","Tue May 13 18:04:59 GMT 2025","Tue May 13 18:04:59 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testReturnLink","testReturnLink()",""
"skipped","Tue May 13 18:04:59 GMT 2025","Tue May 13 18:04:59 GMT 2025","0","","ui.oldTests.LoginFormTest","","ui.oldTests.LoginFormTest","loginFormTest","loginFormTest()",""
